player,nation,minutes,shots_on_target,goals_againts,saves,save%,team,match_id
Tiago Volpi,br BRA,90.0,2,1,1,0.5,São Paulo,254
Fábio,br BRA,90.0,2,0,2,1.0,Cruzeiro,254
Diego Cavalieri,br BRA,90.0,8,2,6,0.75,Botafogo (RJ),255
Fernando Miguel,br BRA,90.0,3,1,2,0.667,Vasco da Gama,255
Cássio,br BRA,90.0,3,2,1,0.33299999999999996,Corinthians,256
Tadeu,br BRA,90.0,4,2,3,0.75,Goiás,256
Marcelo Lomba,br BRA,90.0,6,0,6,1.0,Internacional,257
Vladimir,br BRA,90.0,10,2,8,0.8,Avaí,257
Diogo Silva,br BRA,90.0,5,2,3,0.6,Ceará,258
Éverson,br BRA,90.0,3,1,2,0.667,Santos,258
Santos,br BRA,90.0,4,1,3,0.75,Atl Paranaense,259
Muriel Becker,br BRA,90.0,4,2,2,0.5,Fluminense,259
Phelipe Megiolaro,br BRA,90.0,5,2,3,0.6,Grêmio,260
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,260
Fábio,br BRA,90.0,4,1,3,0.75,Cruzeiro,261
Walter,br BRA,90.0,4,2,3,0.75,Corinthians,261
Vladimir,br BRA,90.0,7,1,6,0.857,Avaí,262
Tiago Volpi,br BRA,90.0,1,0,1,1.0,São Paulo,262
Fernando Miguel,br BRA,90.0,7,0,7,1.0,Vasco da Gama,263
Marcelo Lomba,br BRA,90.0,3,1,2,0.667,Internacional,263
Éverson,br BRA,90.0,4,2,2,0.5,Santos,264
Cleiton Schwengber,br BRA,90.0,1,0,1,1.0,Atlético Mineiro,264
Muriel Becker,br BRA,90.0,7,2,5,0.7140000000000001,Fluminense,265
Diego Alves,br BRA,90.0,4,0,4,1.0,Flamengo,265
Tadeu,br BRA,90.0,3,2,2,0.667,Goiás,266
João Ricardo Riedi,br BRA,90.0,8,2,6,0.75,Chapecoense,266
Wéverton,br BRA,90.0,6,1,5,0.833,Palmeiras,267
Léo,br BRA,90.0,2,1,1,0.5,Atl Paranaense,267
Diogo Silva,br BRA,90.0,4,1,3,0.75,Ceará,268
Douglas Friedrich,br BRA,90.0,6,2,4,0.667,Bahia,268
João Carlos,br BRA,90.0,6,2,4,0.667,CSA,269
Gatito Fernández,py PAR,90.0,2,1,2,1.0,Botafogo (RJ),269
Fernando Miguel,br BRA,90.0,4,1,3,0.75,Vasco da Gama,270
Diogo Silva,br BRA,90.0,3,1,2,0.667,Ceará,270
Éverson,br BRA,90.0,5,0,5,1.0,Santos,271
Cássio,br BRA,90.0,3,0,3,1.0,Corinthians,271
Marcelo Lomba,br BRA,90.0,5,2,3,0.6,Internacional,272
Douglas Friedrich,br BRA,90.0,6,3,3,0.5,Bahia,272
João Ricardo Riedi,br BRA,90.0,8,1,7,0.875,Chapecoense,273
Muriel Becker,br BRA,90.0,5,1,4,0.8,Fluminense,273
Felipe Alves Raymundo,br BRA,90.0,5,1,4,0.8,Fortaleza,274
Fábio,br BRA,90.0,1,1,0,0.0,Cruzeiro,274
Gatito Fernández,py PAR,90.0,9,3,6,0.667,Botafogo (RJ),275
Paulo Victor Vidotti,br BRA,90.0,2,0,2,1.0,Grêmio,275
Tadeu,br BRA,90.0,15,4,11,0.733,Goiás,276
Santos,br BRA,90.0,2,1,1,0.5,Atl Paranaense,276
Cleiton Schwengber,br BRA,90.0,6,2,4,0.667,Atlético Mineiro,277
Tiago Volpi,br BRA,90.0,3,0,3,1.0,São Paulo,277
Wéverton,br BRA,90.0,5,1,5,1.0,Palmeiras,278
Vladimir,br BRA,90.0,3,2,2,0.667,Avaí,278
João Carlos,br BRA,90.0,7,1,6,0.857,CSA,279
Diego Alves,br BRA,90.0,4,0,4,1.0,Flamengo,279
Felipe Alves Raymundo,br BRA,90.0,3,1,2,0.667,Fortaleza,280
Vladimir,br BRA,90.0,5,3,3,0.6,Avaí,280
Tiago Volpi,br BRA,90.0,8,3,5,0.625,São Paulo,281
Wéverton,br BRA,90.0,4,0,4,1.0,Palmeiras,281
Tiepo,br BRA,90.0,0,0,0,,Chapecoense,282
Cleiton Schwengber,br BRA,90.0,3,2,1,0.33299999999999996,Atlético Mineiro,282
Paulo Victor Vidotti,br BRA,90.0,1,1,0,0.0,Grêmio,283
Fernando Miguel,br BRA,90.0,3,3,1,0.33299999999999996,Vasco da Gama,283
Muriel Becker,br BRA,90.0,5,2,3,0.6,Fluminense,284
Diogo Silva,br BRA,90.0,4,0,4,1.0,Ceará,284
Cássio,br BRA,90.0,5,2,3,0.6,Corinthians,285
João Carlos,br BRA,90.0,2,1,1,0.5,CSA,285
Douglas Friedrich,br BRA,90.0,4,1,4,1.0,Bahia,286
Éverson,br BRA,90.0,1,0,1,1.0,Santos,286
César,br BRA,88.0,2,1,1,0.5,Flamengo,287
Gabriel Batista,br BRA,1.0,1,1,0,0.0,Flamengo,287
Tadeu,br BRA,90.0,6,2,4,0.667,Goiás,287
Santos,br BRA,90.0,2,1,2,0.5,Atl Paranaense,288
Marcelo Lomba,br BRA,90.0,2,1,1,0.5,Internacional,288
Fábio,br BRA,90.0,4,0,4,1.0,Cruzeiro,289
Gatito Fernández,py PAR,90.0,3,2,1,0.33299999999999996,Botafogo (RJ),289
Cleiton Schwengber,br BRA,90.0,6,2,4,0.667,Atlético Mineiro,290
Felipe Alves Raymundo,br BRA,90.0,5,2,3,0.6,Fortaleza,290
Diogo Silva,br BRA,90.0,2,1,1,0.5,Ceará,291
Wéverton,br BRA,90.0,3,0,4,1.0,Palmeiras,291
Fernando Miguel,br BRA,90.0,4,0,4,1.0,Vasco da Gama,292
Muriel Becker,br BRA,90.0,2,0,2,1.0,Fluminense,292
Tiago Volpi,br BRA,90.0,9,0,9,1.0,São Paulo,293
Tiepo,br BRA,90.0,6,3,3,0.5,Chapecoense,293
Cássio,br BRA,70.0,3,4,0,-0.33299999999999996,Corinthians,294
Caíque França,br BRA,20.0,0,0,0,,Corinthians,294
Diego Alves,br BRA,90.0,4,1,3,0.75,Flamengo,294
João Carlos,br BRA,90.0,1,1,0,0.0,CSA,295
Santos,br BRA,90.0,0,0,0,,Atl Paranaense,295
Marcelo Lomba,br BRA,50.0,4,1,3,0.75,Internacional,296
Danilo Fernandes,br BRA,34.0,5,1,4,0.8,Internacional,296
Paulo Victor Vidotti,br BRA,90.0,0,0,0,,Grêmio,296
Douglas Friedrich,br BRA,90.0,5,1,4,0.8,Bahia,297
Fábio,br BRA,90.0,2,1,2,1.0,Cruzeiro,297
Gatito Fernández,py PAR,90.0,12,4,8,0.667,Botafogo (RJ),298
Éverson,br BRA,90.0,6,1,5,0.833,Santos,298
Vladimir,br BRA,90.0,5,2,4,0.8,Avaí,299
Tadeu,br BRA,90.0,4,0,4,1.0,Goiás,299
Felipe Alves Raymundo,br BRA,90.0,6,3,3,0.5,Fortaleza,300
Walter,br BRA,90.0,8,2,6,0.75,Corinthians,300
Tadeu,br BRA,90.0,11,2,9,0.818,Goiás,301
Cleiton Schwengber,br BRA,90.0,3,0,3,1.0,Atlético Mineiro,301
Éverson,br BRA,90.0,4,1,3,0.75,Santos,302
Lucas Frigeri,br BRA,90.0,3,2,1,0.33299999999999996,Avaí,302
João Ricardo Riedi,br BRA,90.0,7,1,6,0.857,Chapecoense,303
Douglas Friedrich,br BRA,90.0,2,1,1,0.5,Bahia,303
Fábio,br BRA,90.0,0,0,0,,,304
Santos,br BRA,90.0,0,0,0,,,304
Fernando Prass,br BRA,90.0,4,1,3,0.75,Palmeiras,305
Fernando Miguel,br BRA,90.0,6,2,4,0.667,Vasco da Gama,305
Danilo Fernandes,br BRA,90.0,4,2,2,0.5,Internacional,306
Diogo Silva,br BRA,90.0,3,0,3,1.0,Ceará,306
Muriel Becker,br BRA,90.0,4,0,4,1.0,Fluminense,307
Tiago Volpi,br BRA,90.0,4,2,2,0.5,São Paulo,307
Diego Alves,br BRA,90.0,2,0,2,1.0,Flamengo,308
Gatito Fernández,py PAR,90.0,3,1,2,0.667,Botafogo (RJ),308
João Carlos,br BRA,90.0,4,2,2,0.5,CSA,309
Paulo Victor Vidotti,br BRA,90.0,3,1,2,0.667,Grêmio,309
Éverson,br BRA,90.0,2,0,2,1.0,Santos,310
Tadeu,br BRA,90.0,11,3,8,0.727,Goiás,310
Walter,br BRA,90.0,5,1,5,0.8,Corinthians,311
Wéverton,br BRA,90.0,2,1,1,0.5,Palmeiras,311
Muriel Becker,br BRA,90.0,5,2,3,0.6,Fluminense,312
Marcelo Lomba,br BRA,90.0,5,1,4,0.8,Internacional,312
Santos,br BRA,90.0,0,0,0,,Atl Paranaense,313
Tiago Volpi,br BRA,90.0,1,1,0,0.0,São Paulo,313
Cleiton Schwengber,br BRA,90.0,2,0,2,1.0,Atlético Mineiro,314
Fábio,br BRA,90.0,0,0,0,,Cruzeiro,314
Douglas Friedrich,br BRA,90.0,8,3,5,0.625,Bahia,315
Diego Alves,br BRA,90.0,3,1,2,0.667,Flamengo,315
Diogo Silva,br BRA,90.0,2,1,1,0.5,Ceará,316
Felipe Alves Raymundo,br BRA,90.0,3,0,3,1.0,Fortaleza,316
Fernando Miguel,br BRA,90.0,4,0,4,1.0,Vasco da Gama,317
João Carlos,br BRA,90.0,7,3,4,0.5710000000000001,CSA,317
Paulo Victor Vidotti,br BRA,90.0,2,0,2,1.0,Grêmio,318
João Ricardo Riedi,br BRA,90.0,2,1,1,0.5,Chapecoense,318
Vladimir,br BRA,90.0,4,2,3,0.75,Avaí,319
Gatito Fernández,py PAR,90.0,5,0,5,1.0,Botafogo (RJ),319
Fernando Miguel,br BRA,90.0,5,4,1,0.2,Vasco da Gama,320
Diego Alves,br BRA,90.0,5,4,2,0.4,Flamengo,320
Tiago Volpi,br BRA,90.0,2,1,2,1.0,São Paulo,321
Éverson,br BRA,90.0,4,1,3,0.75,Santos,321
Cleiton Schwengber,br BRA,90.0,5,1,4,0.8,Atlético Mineiro,322
Marcos Felipe,br BRA,90.0,5,1,4,0.8,Fluminense,322
Diego Alves,br BRA,90.0,5,0,5,1.0,Flamengo,323
Paulo Victor Vidotti,br BRA,90.0,4,1,4,1.0,Grêmio,323
Wéverton,br BRA,90.0,5,1,4,0.8,Palmeiras,324
Douglas Friedrich,br BRA,90.0,5,1,4,0.8,Bahia,324
Marcelo Lomba,br BRA,90.0,3,0,3,1.0,Internacional,325
Cássio,br BRA,90.0,2,0,2,1.0,Corinthians,325
Diego Cavalieri,br BRA,90.0,1,1,0,0.0,Botafogo (RJ),326
Léo,br BRA,90.0,0,0,0,,Atl Paranaense,326
Diogo Silva,br BRA,90.0,5,1,4,0.8,Ceará,327
João Ricardo Riedi,br BRA,90.0,6,0,6,1.0,Chapecoense,327
João Carlos,br BRA,90.0,6,3,3,0.5,CSA,328
Felipe Alves Raymundo,br BRA,90.0,2,0,2,1.0,Fortaleza,328
Tadeu,br BRA,90.0,3,1,2,0.667,Goiás,329
Fernando Miguel,br BRA,90.0,6,1,5,0.833,Vasco da Gama,329
Vladimir,br BRA,90.0,3,0,3,1.0,Avaí,330
Fábio,br BRA,90.0,4,0,4,1.0,Cruzeiro,330
Fábio,br BRA,90.0,11,4,7,0.636,Cruzeiro,331
Éverson,br BRA,90.0,2,1,1,0.5,Santos,331
Douglas Friedrich,br BRA,90.0,5,4,1,0.2,Bahia,332
Tadeu,br BRA,90.0,3,3,0,0.0,Goiás,332
Santos,br BRA,90.0,0,0,0,,Atl Paranaense,333
Cleiton Schwengber,br BRA,90.0,1,1,0,0.0,Atlético Mineiro,333
Paulo Victor Vidotti,br BRA,90.0,5,1,5,1.0,Grêmio,334
Wéverton,br BRA,90.0,2,2,1,0.5,Palmeiras,334
Cássio,br BRA,90.0,5,1,4,0.8,Corinthians,335
Gatito Fernández,py PAR,90.0,5,0,5,1.0,Botafogo (RJ),335
Tiago Volpi,br BRA,90.0,6,1,5,0.833,São Paulo,336
Diogo Silva,br BRA,90.0,2,1,1,0.5,Ceará,336
Felipe Alves Raymundo,br BRA,90.0,6,2,4,0.667,Fortaleza,337
Marcelo Lomba,br BRA,90.0,1,2,0,-1.0,Internacional,337
João Ricardo Riedi,br BRA,90.0,2,0,2,1.0,Chapecoense,338
Vladimir,br BRA,90.0,2,1,1,0.5,Avaí,338
Marcos Felipe,br BRA,90.0,4,0,4,1.0,Fluminense,339
Jordi Almeida,br BRA,90.0,7,1,6,0.857,CSA,339
Tadeu,br BRA,90.0,9,1,8,0.889,Goiás,340
Marcelo Lomba,br BRA,90.0,6,2,4,0.667,Internacional,340
Gatito Fernández,py PAR,90.0,4,0,4,1.0,Botafogo (RJ),341
João Ricardo Riedi,br BRA,90.0,2,1,1,0.5,Chapecoense,341
Cleiton Schwengber,br BRA,90.0,4,1,3,0.75,Atlético Mineiro,342
Douglas Friedrich,br BRA,90.0,3,1,2,0.667,Bahia,342
Diogo Silva,br BRA,90.0,8,4,4,0.5,Ceará,343
Diego Alves,br BRA,90.0,1,1,0,0.0,Flamengo,343
Vladimir,br BRA,90.0,9,3,6,0.667,Avaí,344
Cássio,br BRA,90.0,1,0,1,1.0,Corinthians,344
Paulo Victor Vidotti,br BRA,90.0,1,2,0,0.0,Grêmio,345
Santos,br BRA,90.0,0,0,0,,Atl Paranaense,345
Wéverton,br BRA,90.0,4,1,3,0.75,Palmeiras,346
Marcos Felipe,br BRA,90.0,3,0,3,1.0,Fluminense,346
Éverson,br BRA,90.0,3,2,1,0.33299999999999996,Santos,347
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,347
Fernando Miguel,br BRA,90.0,5,1,4,0.8,Vasco da Gama,348
Tiago Volpi,br BRA,90.0,5,0,5,1.0,São Paulo,348
Jordi Almeida,br BRA,90.0,9,0,9,1.0,CSA,349
Fábio,br BRA,90.0,3,1,2,0.667,Cruzeiro,349
Marcelo Lomba,br BRA,90.0,1,0,1,1.0,Internacional,350
Gatito Fernández,py PAR,90.0,7,1,6,0.857,Botafogo (RJ),350
Santos,br BRA,90.0,8,1,7,0.875,Atl Paranaense,351
Diogo Silva,br BRA,90.0,3,1,2,0.667,Ceará,351
Marcos Felipe,br BRA,90.0,0,1,0,,Fluminense,352
Vladimir,br BRA,90.0,2,1,1,0.5,Avaí,352
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,353
Tadeu,br BRA,90.0,6,2,4,0.667,Goiás,353
Diego Alves,br BRA,90.0,5,1,4,0.8,Flamengo,354
Jailson,br BRA,90.0,8,3,5,0.625,Palmeiras,354
Douglas Friedrich,br BRA,90.0,4,1,3,0.75,Bahia,355
Jordi Almeida,br BRA,90.0,8,2,6,0.75,CSA,355
Cássio,br BRA,90.0,8,2,7,0.875,Corinthians,356
Cleiton Schwengber,br BRA,90.0,4,1,3,0.75,Atlético Mineiro,356
Tiago Volpi,br BRA,90.0,3,3,1,0.33299999999999996,São Paulo,357
Paulo Victor Vidotti,br BRA,90.0,1,0,1,1.0,Grêmio,357
João Ricardo Riedi,br BRA,90.0,5,2,3,0.6,Chapecoense,358
Éverson,br BRA,90.0,0,0,0,,Santos,358
Fábio,br BRA,90.0,1,1,0,0.0,Cruzeiro,359
Fernando Miguel,br BRA,90.0,1,0,1,1.0,Vasco da Gama,359
Éverson,br BRA,90.0,3,1,2,0.667,Santos,360
Santos,br BRA,90.0,3,0,3,1.0,Atl Paranaense,360
Cássio,br BRA,90.0,2,0,2,1.0,Corinthians,361
Diogo Silva,br BRA,90.0,2,1,1,0.5,Ceará,361
Gatito Fernández,py PAR,90.0,8,2,6,0.75,Botafogo (RJ),362
Cleiton Schwengber,br BRA,90.0,6,0,6,1.0,Atlético Mineiro,362
Jordi Almeida,br BRA,90.0,6,3,3,0.5,CSA,363
João Ricardo Riedi,br BRA,90.0,3,0,3,1.0,Chapecoense,363
Felipe Alves Raymundo,br BRA,90.0,3,0,3,1.0,Fortaleza,364
Marcos Felipe,br BRA,90.0,4,0,4,1.0,Fluminense,364
Marcelo Lomba,br BRA,90.0,8,2,6,0.75,Internacional,365
Tiago Volpi,br BRA,90.0,2,1,1,0.5,São Paulo,365
Tadeu,br BRA,90.0,6,5,1,0.16699999999999998,Goiás,366
Wéverton,br BRA,90.0,2,1,2,1.0,Palmeiras,366
Fernando Miguel,br BRA,90.0,3,1,3,1.0,Vasco da Gama,367
Douglas Friedrich,br BRA,90.0,4,1,3,0.75,Bahia,367
Fábio,br BRA,90.0,6,2,5,0.833,Cruzeiro,368
Paulo Victor Vidotti,br BRA,90.0,2,0,2,1.0,Grêmio,368
Vladimir,br BRA,90.0,13,6,7,0.5379999999999999,Avaí,369
César,br BRA,90.0,3,1,2,0.667,Flamengo,369
Marcos Felipe,br BRA,90.0,4,1,3,0.75,Fluminense,370
Cássio,br BRA,90.0,3,2,1,0.33299999999999996,Corinthians,370
Phelipe Megiolaro,br BRA,90.0,6,3,3,0.5,Grêmio,371
Tadeu,br BRA,90.0,6,2,4,0.667,Goiás,371
Lucas Perri,br BRA,90.0,6,1,5,0.833,São Paulo,372
Jordi Almeida,br BRA,90.0,4,2,2,0.5,CSA,372
Victor Leandro Bagy,br BRA,90.0,7,2,5,0.7140000000000001,Atlético Mineiro,373
Marcelo Lomba,br BRA,90.0,4,1,3,0.75,Internacional,373
Diogo Silva,br BRA,90.0,2,1,1,0.5,Ceará,374
Diego Cavalieri,br BRA,90.0,1,1,1,1.0,Botafogo (RJ),374
João Ricardo Riedi,br BRA,90.0,6,1,6,1.0,Chapecoense,375
Fernando Miguel,br BRA,45.0,1,0,1,1.0,Vasco da Gama,375
Sidão,br BRA,45.0,1,1,0,0.0,Vasco da Gama,375
Léo,br BRA,90.0,0,0,0,,,376
Lucas Frigeri,br BRA,90.0,0,0,0,,,376
Wéverton,br BRA,90.0,3,0,3,1.0,Palmeiras,377
Fábio,br BRA,90.0,5,2,3,0.6,Cruzeiro,377
Diego Alves,br BRA,90.0,8,4,4,0.5,Flamengo,378
Éverson,br BRA,90.0,1,0,1,1.0,Santos,378
Douglas Friedrich,br BRA,90.0,4,2,2,0.5,Bahia,379
Felipe Alves Raymundo,br BRA,90.0,4,1,3,0.75,Fortaleza,379
